date,news
2022-03-27,"['Giant tech company Amazon (AMZN) - Get Amazon.com, Inc. Report on Thursday stepped up with its pledge to provide for the immediate needs and longer-term support for people fleeing Ukraine.', 'Amazon.com Inc.\n\nThe first stock investors may want to consider is Amazon.com Inc. ( AMZN, Financial), a Seattle, Washington-based global e-commerce giant.\n\nAmazon.com Inc.’s shares closed at $3,295.47 apiece on Friday while its GF Value was $3,774.40, resulting in a price-to-GF-Value ratio of 0.87 and a rating of modestly undervalued.', 'The biggest chunk of money in the new Biden plan would come from taxes on unrealized gains built up over many years, which could include much of the wealth of founders of large technology companies such as Amazon.com Inc. and Facebook parent Meta Platforms Inc.']"
2022-03-28,"['That comes after recent split announcements from Amazon.com and Google parent Alphabet.\n\nSplits lower the price of a single share. And that means the price-weighted Dow Jones Industrial Average could pick up a megacapitalization growth stock if it wants to. The question for investors is will it?', ""India's fast-growing e-commerce market was already dominated by such players as Amazon.com Inc and Walmart's Flipkart."", 'Background\n\nApple and Netflix are among the FAANG stocks, which also include Meta Platforms Inc. ( FB, Financial), Amazon.com Inc. ( AMZN, Financial) and Google-parent Alphabet Inc. ( GOOGL, Financial)( GOOG, Financial).']"
2022-03-29,"['The longest winning streak since 2003 sent the stock back into the green for the year, and follows similar breakouts in Nvidia and Amazon.com in the past week.', '(NYSE:WMT) and Amazon.com Inc. (Nasdaq:AMNZ) are forking up the capital to invest in training workers in artificial worlds rather than in person.\n\ntorton@biv.com\n\n@reporton', 'Shares of Amazon.com (AMZN) jumped 5.4% after the company announced plans to split its stock 20-for-1. Shares are up about 21% since the early March announcement, compared with a 10% gain in the Nasdaq over the same span.\n\nTesla stock was at roughly $500 a share when its 2020 split became effective. Shares closed at $1,010.64 on Friday.']"
2022-03-30,"['Technology companies were hit during Wednesday’s session, with Block Inc (ASX: ) down 4.6%, Amazon.com Inc (NASDAQ: ) falling 1.8%, Advanced Micro Devices Inc (NASDAQ: ) falling 3.3% and Micron Technology Inc (NASDAQ: ) down 3.5% after .\n\nOil companies were buoyed by rising prices.', 'All-in-One Screener, a Premium feature of GuruFocus, five stocks in Warren Buffett (Trades, Portfolio)’s Berkshire Hathaway Inc.’s ( BRK.A, Financial)( BRK.B, Financial) most-recent 13F equity portfolio that have a GF Score of 96 or better as of Wednesday are Visa Inc. ( V, Financial), Mastercard Inc. ( MA, Financial), Apple Inc. ( AAPL, Financial), Amazon.com', 'Inc. ( AMZN, Financial) and Moody’s Corporation ( MCO, Financial).', 'Amazon.com Inc.\n\nBerkshire owns 533,300 shares of Amazon.com Inc. ( AMZN, Financial), giving the position a 0.54% equity portfolio weight.\n\nShares of Amazon traded around $3,337 on March 30, showing that the stock is modestly undervalued based on Wednesday’s price-to-GF-Value ratio of 0.88.', 'Other heavyweights Meta Platforms Inc, Amazon.com Inc, and Microsoft Corp slipped between 0.8% and 1.1%.\n\nInvestors have begun to doubt the sustainability of a rebound in equities against the backdrop of a hawkish Federal Reserve, warnings of recession from the bond market and geopolitical uncertainty.']"
2022-03-31,"['Amazon union has strong lead in NY vote count; losing in Alabama\n\nArticle content Amazon.com Inc workers at a warehouse in New York City’s Staten Island have so far voted 57% in favor of unionizing with a final tally due on Friday, a potential landmark victory for organized labor at the second-largest U.S. private employer.', 'Technology stocks retreated broadly on Thursday, with Block Inc (NYSE: ) down 3.2%, Amazon.com Inc (NASDAQ: ) fell 2%, Microsoft Corporation (NASDAQ: ) lost 1.8%, Apple Inc (NASDAQ: ) dipped 1.8% and Alphabet Inc (NASDAQ: ) retreated 2%.', 'Amazon (AMZN) - Get Amazon.com, Inc. Report gained more than 5% the day after announcing a 20-for-1 split this month.']"
2022-04-01,"['New York warehouse workers vote to form first U.S. union at Amazon\n\nArticle content NEW YORK — Workers at an Amazon.com Inc warehouse in New York City voted to form the first union at the second-largest U.S. private employer, a victory that adds to recent grassroots successes by labor activists pushing into new industries.', 'Labor issues have been increasingly pressuring the bottom lines of major Fortune 500 companies, and have even begun flustering large tech players like Amazon (AMZN) - Get Amazon.com, Inc. Report, where workers voted for their first union at the company ever on Friday.', 'The stock demonstrated a mixed performance when compared to some of its competitors Friday, as Amazon.com Inc. AMZN, +0.35% rose 0.35% to $3,271.20, Walmart Inc. WMT, +1.40% rose 1.40% to $151.01, and Costco Wholesale Corp. COST, -0.05% fell 0.05% to $575.57. Trading volume (4.9 M) remained 2.8 million below its 50-day average volume of 7.8 M.']"
2022-04-02,"[""Report Jack Dorsey, Amazon's (AMZN) - Get Amazon.com, Inc. Report Andy Jassy and Microsoft's (MSFT) - Get Microsoft Corporation Report Satya Nadella, have pledged their support for Ukraine following Russia's unprovoked invasion, while their companies at the same time have provided financial support and other resources to the country under siege."", 'Jeff Bezos became a billionaire and one of the richest men in the world as the founder and long-time CEO of Amazon (AMZN) - Get Amazon.com, Inc. Report. He held that chair until July 2021 when he stepped aside to spend more time focused on his space company, Blue Origin.', 'Since April 2020, Riot Blockchain stock’s 2-year return has outperformed several of the world’s most popular tech and consumer discretionary stocks: Tesla Inc TSLA, Ford Motor Company F, Microsoft Corporation MSFT, Apple Inc AAPL, Walt Disney Co DIS, Netflix Inc NFLX and Amazon.com, Inc. AMZN.']"
2022-04-03,"['Try refreshing your browser, or A 30-Year-Old Crypto Billionaire Wants to Give His Fortune Away Back to video (Bloomberg Markets) — The Economic Club of New York has hosted kings, prime ministers, and presidents, as well as Amazon.com Inc.’s Jeff Bezos and JPMorgan Chase & Co.’s Jamie Dimon.', 'NEW DELHI : Future Retail Ltd (FRL) placed false statements before various courts and colluded with Reliance Industries Ltd to consummate their ₹24,713 crore takeover deal, US e-commerce giant Amazon.com Inc has alleged in a petition filed before the Supreme court on Saturday.\n\nA copy of the petition was reviewed by Mint.', ""Jeff Bezos, the founder of Amazon (AMZN) - Get Amazon.com, Inc. Report, is at $188 billion. Most of Musk's fortune is based on his stake in Tesla. Musk held a passive 21.2% stake in Tesla""]"
2022-04-04,"['/File Photo\n\n(Reuters) - Amazon.com Inc (NASDAQ: ) staff included the words ""union,"" ""grievance,"" and ""living wage"" on a preliminary list of terms to block from an internal messaging app it was considering creating to boost worker morale, The Intercept reported on Monday.', 'Amazon.com Inc staff included the words “union,” “grievance,” and “living wage” on a preliminary list of terms to block from an internal messaging app it was considering creating to boost worker morale, The Intercept reported on Monday https://theintercept.com/2022/04/04/amazon-union-living-wage-restrooms-chat-app.', 'The stock demonstrated a mixed performance when compared to some of its competitors Monday, as Amazon.com Inc. AMZN, +2.93% rose 2.93% to $3,366.93, Costco Wholesale Corp. COST, -0.08% fell 0.08% to $575.13, and Target Corp. TGT, +1.84% rose 1.84% to $214.41. Trading volume (8.4 M) eclipsed its 50-day average volume of 8.3 M.']"
2022-04-05,"['Block Inc (NYSE: ) lost 6.4%, Amazon.com Inc (NASDAQ: ) dipped 2.6%, Alphabet Inc (NASDAQ: ) fell 1.7% and NVIDIA Corporation (NASDAQ: ) dropped 5.2%.\n\nEV makers lost ground as Tesla Inc (NASDAQ: ) fell 4.7%, Rivian Automotive Inc (NASDAQ: ) lost 9.3% and Lucid Group Inc (NASDAQ: ) dipped 5.9%.', 'The tech-heavy Nasdaq posted its biggest daily percentage drop in about a month, with declines in heavyweight stocks such as Apple Inc and Amazon.com Inc.', 'Shares added by 22.20% Amazon.com Inc (AMZN) - 1,649 shares, 3.41% of the total portfolio. Shares added by 7.92% Alphabet Inc (GOOGL) - 1,723 shares, 3.04% of the total portfolio. Shares added by 7.69%\n\nByrne Asset Management LLC initiated holding in Deere & Co.']"
2022-04-06,"['Federal securities regulators are investigating how Amazon.com Inc. has disclosed some details of its business practices, including how it uses third-party-seller data for its private-label business, according to people familiar with the matter.', 'Advisory Resource Group added to a holding in Amazon.com Inc by 34.39%. The purchase prices were between $2720.29 and $3408.09, with an estimated average price of $3092.09. The stock is now traded at around $3175.120000. The impact to a portfolio due to this purchase was 0.11%. The holding were 422 shares as of 2022-03-31.', 'Spence Asset Management sold out a holding in Amazon.com Inc. The sale prices were between $2720.29 and $3408.09, with an estimated average price of $3092.09.\n\nSpence Asset Management sold out a holding in iShares Core MSCI EAFE ETF. The sale prices were between $63.26 and $75.48, with an estimated average price of $70.74.']"
2022-04-07,"[""Case in point, Amazon (AMZN) - Get Amazon.com, Inc. Report, the tech bellwether that's down 5% for the year, despite still posting great earnings. You can learn a lot about a stock by what happens after it reports. If the numbers are great, but investors just don't care, that's a problem for a $1.6 trillion company."", 'XLI, F, DOV, SBUX, LKFN, XLU, CRWD, PRU, TT, USB, SNOW, EMR, EFAV, DG, ITA, BLL, IYJ, AWR, SWKS, AVGO, DBC, DLR, PLTR, EWY, FIDU, ZTS, SQ, SNY, LIT, XSD, AEP, MMP, CAT, CI, CLX, GS, CMG, EPD,\n\nInvestment company Current Portfolio ) buys Phillips Edison Inc, Shell PLC, Shell PLC, Catalent Inc, Owl Rock Capital Corp, sells Microsoft Corp, Apple Inc, Amazon.com', 'Inc, NVIDIA Corp, Tesla Inc during the 3-months ended 2022Q1, according to the most recent filings of the investment company, ACG Wealth.', 'ACG Wealth Buys Phillips Edison Inc, Shell PLC, Shell PLC, Sells Microsoft Corp, Apple Inc, Amazon.com Inc', 'Shares added by 0.14% Amazon.com Inc (AMZN) - 13,384 shares, 3.33% of the total portfolio. Shares added by 2.87%\n\nVigilant Capital Management, LLC initiated holding in Inseego Corp. The purchase prices were between $3.79 and $5.9, with an estimated average price of $4.58. The stock is now traded at around $3.670000.']"
2022-04-08,"[""REUTERS/Brend\n\nNEW YORK (Reuters) -Amazon.com Inc on Friday called for an election re-run after workers at a New York City warehouse voted to create the company's first U.S. union, saying that the U.S. labor board and worker-organizers suppressed turnout."", 'Amazon calls for election re-run after workers voted for first U.S. union\n\nArticle content NEW YORK — Amazon.com Inc on Friday called for an election re-run after workers at a New York City warehouse voted to create the company’s first U.S. union, saying that the U.S. labor board and worker-organizers suppressed turnout.', 'Shares reduced by 5.23% Amazon.com Inc (AMZN) - 28,886 shares, 5.03% of the total portfolio. Shares reduced by 0.22% Marsh & McLennan Companies Inc (MMC) - 497,359 shares, 4.53% of the total portfolio. Shares reduced by 5.74% Alphabet Inc (GOOGL) - 28,272 shares, 4.20% of the total portfolio.']"
2022-04-09,"[""Advertiser Disclaimer WallStreetMojo is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to provide a means for sites to earn advertising fees by advertising and linking to amazon.com\n\nSome of the links on this page will take you to products that we think you'll like."", 'Chipmaker Nvidia Corp. and software company Datadog Inc. each dropped more than 10%, while megacaps like Amazon.com Inc. and Alphabet Inc. sank more than 4%.\n\nWe apologize, but this video has failed to load.', ""Microsoft Corp. is gaining ground on Amazon.com Inc. in the cloud-computing market, and the software company's rapid ascent has drawn the attention of European regulators.""]"
2022-04-10,"['Block Inc (NYSE: ) lost 2.9%, Amazon.com Inc (NASDAQ: ) fell 2.1%, Alphabet Inc (NASDAQ: ) dipped 1.9% and NVIDIA Corporation (NASDAQ: ) shed 4.5%.\n\nEV manufacturers declined, with Rivian Automotive Inc (NASDAQ: ) and Tesla Inc (NASDAQ: ) falling 3% while Lucid Group Inc (NASDAQ: ) dipped 2.9%.', 'Amazon.com (AMZN) was down 5.6% for the week while the SPDR S&P Bank ETF KBE (KBE) declined by 4.6%. At the start of 2022, I had focused on the weakness in the tech sector.\n\nWeak markets Tom Aspray-ViperReport.com\n\nThe weekly chart of Amazon.com (AMZN) had reached the former support, not resistance, line a, the prior week forming a doji.', 'AT&T serves customers across the U.S. and Mexico, but the now-independent media company’s HBO Max streaming service is competing for subscribers world-wide against deep-pocketed rivals such as Amazon.com Inc. and Walt Disney Co.']"
2022-04-11,"['Shares added by 8.98% Amazon.com Inc (AMZN) - 7,534 shares, 2.98% of the total portfolio. Shares added by 18.72% Alphabet Inc (GOOGL) - 6,202 shares, 2.10% of the total portfolio. Shares added by 3.99% Tesla Inc (TSLA) - 13,373 shares, 1.75% of the total portfolio. Shares added by 5.49%\n\nVeriti Management LLC initiated holding in CMS Energy Corp.', 'Class A Report, Amazon (AMZN) - Get Amazon.com, Inc. Report, Apple (AAPL) - Get Apple Inc. Report, Netflix (NFLX) - Get Netflix, Inc. Report and Alphabet (GOOGL) - Get Alphabet Inc. Class A Report.', 'Shares reduced by 0.15% Amazon.com Inc (AMZN) - 2,400 shares, 2.58% of the total portfolio. Shares reduced by 0.5%\n\nLegacy Capital Partners, Inc. initiated holding in VanEck Merk Gold Trust. The purchase prices were between $17.38 and $19.94, with an estimated average price of $18.26. The stock is now traded at around $18.990000.']"
2022-04-12,"['The chief executive officer of Etsy defended the company’s strategy to become an online shopping destination that can compete with Amazon.com Inc. and said recent moves that have been unpopular among some sellers would benefit them in the long run.', 'The chief executive officer of Etsy defended the company’s strategy to become an online shopping destination that can compete with Amazon.com Inc. and said recent moves that have been unpopular among some sellers would benefit them in the long run.', 'Technology companies also struggled, with Block Inc (NYSE: ) down 0.2%, Amazon.com Inc (NASDAQ: ) falling 0.2%, Microsoft Corporation (NASDAQ: ) down 1.1% and Alphabet Inc (NASDAQ: ) falling 0.9%.']"
2022-04-13,"['Ticker Security Last Change Change % AMZN AMAZON.COM INC. 3,110.82 +95.07 +3.15%\n\nWhile fuel surcharges are common for shipping firms, this is the first time Amazon has added such a fee amid the persistence of soaring inflation driven by high gas prices.', 'Pzena Investment Management, LLC\n\nGrowth Managers:\n\nSustainable Growth Advisers, LP\n\nTCW Investment Management Company\n\nTop 20 Holdings at Month-End\n\n(29.8% of equity portfolio) 1 Alphabet, Inc. 3.0% 2 Amazon.com, Inc. 2.5% 3 Microsoft Corp. 1.9% 4 Visa, Inc. 1.9% 5 UnitedHealth Group, Inc. 1.8% 6 Danaher Corp. 1.5% 7 Adobe, Inc. 1.5% 8 S&P Global,', 'Pzena Investment Management, LLC\n\nGrowth Managers:\n\nSustainable Growth Advisers, LP\n\nTCW Investment Management Company\n\nTop 20 Holdings at Month-End\n\n(29.8% of equity portfolio) 1 Alphabet, Inc. 3.0% 2 Amazon.com, Inc. 2.5% 3 Microsoft Corp. 1.9% 4 Visa, Inc. 1.9% 5 UnitedHealth Group, Inc. 1.8% 6 Danaher Corp. 1.5% 7 Adobe, Inc. 1.5% 8 S&P Global,']"
2022-04-14,"['., Amazon.com Inc., and Costco Wholesale Corp.\n\nRetail sales in the U.S. increased 3.8% in January, the largest rise since March 2021, despite accelerating inflation and weakening consumer sentiment. Spending was supported by huge savings built up during the COVID-19 pandemic and a tightening labor market.', 'Report, Hulu, or Amazon (AMZN) - Get Amazon.com, Inc. Report Prime. The same exit rate. The difference for the pay-tv industry is the entrance rate, the connects are not happening fast enough. And the reason why they are slower is two-fold.\n\nOne is consumers have more choices than they have ever had before.', 'Megacap growth names such as Amazon.com Inc and Apple Inc fell more than 1.5% each as Treasury yields jumped following two days of declines after a flurry of economic data and a policy announcement from the European Central Bank.\n\nThe benchmark 10-year Treasury yield US10YT=RR was up 2.80%, after falling as much as 2.65% earlier in the day.']"
2022-04-15,"['Amazon\'s (AMZN) - Get Amazon.com, Inc. Report top executive can see a non-fungible future.\n\nCEO Andy Jassy shared recently his thoughts about NFTs and cryptocurrency and it came down to a split decision.\n\nCrypto is \'Awesome\'\n\n""I don\'t own any of NFT\'s myself and Bitcoin. I don\'t have Bitcoin myself,"" he told CNBC\'s Andrew Ross Sorkin.', 'According to McCartin, the problem also goes beyond Starbucks or Amazon (AMZN) - Get Amazon.com, Inc. Report, another major retailer that has been seeing a snowballing union drive.\n\nIt is an example of middle-class jobs that no longer offer the security or upward mobility that they did in the mid-20th century.', 'NEW YORK, April 15, 2022 (GLOBE NEWSWIRE) -- Pomerantz LLP is investigating claims on behalf of investors of Amazon.com, Inc. (“Amazon.com or the “Company”) (NASDAQ: AMZN). Such investors are advised to contact Robert S. Willoughby at newaction@pomlaw.com or 888-476-6529, ext. 7980.', 'SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Amazon.com, Inc. - AMZN']"
2022-04-16,"['Analysts expect that Amazon.com, Inc. (NASDAQ:AMZN) will post earnings per share of $9.33 for the current quarter, Zacks reports. Thirteen analysts have provided estimates for Amazon.com’s earnings, with the lowest EPS estimate coming in at $7.23 and the highest estimate coming in at $14.01.', 'Amazon.com posted earnings of $15.79 per share during the same quarter last year, which would suggest a negative year over year growth rate of 40.9%. The firm is expected to issue its next earnings report after the market closes on Monday, January 1st.', 'Zacks Investment Research’s EPS calculations are a mean average based on a survey of research analysts that follow Amazon.com.\n\nGet Amazon.com alerts:\n\nAmazon.com (NASDAQ:AMZN – Get Rating) last announced its earnings results on Thursday, February 3rd.', 'Amazon.com had a return on equity of 27.98% and a net margin of 7.10%. During the same period in the prior year, the firm earned $14.09 EPS.\n\nA number of research firms have weighed in on AMZN. Robert W. Baird reaffirmed an “outperform” rating and set a $4,000.00 price objective on shares of Amazon.com in a research report on Thursday.', 'Raymond James increased their price objective on Amazon.com from $3,840.00 to $3,950.00 and gave the stock an “outperform” rating in a research report on Friday, February 4th. UBS Group increased their price objective on Amazon.com from $4,550.00 to $4,625.00 and gave the stock a “buy” rating in a research report on Friday, February 4th.', 'Credit Suisse Group raised their price target on Amazon.com from $4,000.00 to $4,100.00 and gave the company an “outperform” rating in a report on Friday, February 4th. Finally, Evercore ISI initiated coverage on Amazon.com in a report on Tuesday, December 21st. They issued an “outperform” rating for the company.', 'According to MarketBeat, Amazon.com currently has a consensus rating of “Buy” and an average price target of $4,127.76.\n\nAmazon.com stock traded down $76.69 during mid-day trading on Friday, reaching $3,034.13. 2,575,279 shares of the company were exchanged, compared to its average volume of 3,009,304.', 'Finally, Norges Bank bought a new stake in Amazon.com in the fourth quarter valued at about $14,053,756,000. 70.01% of the stock is currently owned by institutional investors and hedge funds.\n\nAbout Amazon.com (Get Rating)\n\nAmazon.com, Inc engages in the retail sale of consumer products and subscriptions in North America and internationally.', 'See Also\n\nGet a free copy of the Zacks research report on Amazon.com (AMZN)\n\nFor more information about research offerings from Zacks Investment Research, visit Zacks.com\n\nWant More Great Investing Ideas?', ""Receive News & Ratings for Amazon.com Daily - Enter your email address below to receive a concise daily summary of the latest news and analysts' ratings for Amazon.com and related companies with MarketBeat.com's FREE daily email newsletter."", 'Zacks: Analysts Expect Amazon.com, Inc. (NASDAQ:AMZN) Will Announce Earnings of $9.33 Per Share', 'Equities analysts expect Amazon.com, Inc. (NASDAQ:AMZN) to report sales of $117.02 billion for the current quarter, Zacks reports. Thirteen analysts have made estimates for Amazon.com’s earnings, with the highest sales estimate coming in at $120.00 billion and the lowest estimate coming in at $115.37 billion.', 'Zacks’ sales averages are an average based on a survey of research analysts that that provide coverage for Amazon.com.\n\nGet Amazon.com alerts:\n\nAmazon.com (NASDAQ:AMZN – Get Rating) last issued its quarterly earnings data on Thursday, February 3rd.', 'Amazon.com had a return on equity of 27.98% and a net margin of 7.10%. During the same period in the prior year, the business posted $14.09 EPS.\n\nA number of analysts have issued reports on AMZN shares. Robert W. Baird reaffirmed an “outperform” rating and set a $4,000.00 price target on shares of Amazon.com in a report on Thursday.', 'JPMorgan Chase & Co. upped their target price on Amazon.com from $4,350.00 to $4,500.00 and gave the company an “overweight” rating in a research note on Friday, February 4th. Canaccord Genuity Group reduced their price target on Amazon.com from $4,400.00 to $4,299.00 and set a “buy” rating on the stock in a research note on Friday, February 4th.', 'Exane BNP Paribas initiated coverage on Amazon.com in a research report on Tuesday, March 29th. They issued an “underperform” rating and a $2,800.00 target price on the stock.', 'According to MarketBeat, Amazon.com presently has a consensus rating of “Buy” and a consensus price target of $4,127.76.\n\nIn other Amazon.com news, CEO Andrew R. Jassy sold 492 shares of the business’s stock in a transaction dated Tuesday, February 22nd. The stock was sold at an average price of $3,009.57, for a total transaction of $1,480,708.44.', 'Norges Bank purchased a new stake in shares of Amazon.com in the fourth quarter valued at $14,053,756,000. Castleview Partners LLC purchased a new stake in shares of Amazon.com in the fourth quarter valued at $1,143,000. Fairfield Bush & CO. lifted its holdings in shares of Amazon.com by 28,715.3% in the fourth quarter.', 'Amazon.com Company Profile (Get Rating)\n\nAmazon.com, Inc engages in the retail sale of consumer products and subscriptions in North America and internationally. The company operates through three segments: North America, International, and Amazon Web Services (AWS).', 'Read More\n\nGet a free copy of the Zacks research report on Amazon.com (AMZN)\n\nFor more information about research offerings from Zacks Investment Research, visit Zacks.com\n\nWant More Great Investing Ideas?', ""Receive News & Ratings for Amazon.com Daily - Enter your email address below to receive a concise daily summary of the latest news and analysts' ratings for Amazon.com and related companies with MarketBeat.com's FREE daily email newsletter."", 'Zacks: Analysts Expect Amazon.com, Inc. (NASDAQ:AMZN) Will Announce Quarterly Sales of $117.02 Billion', 'Amazon, Alexa y todos los logotipos relacionados son marcas registradas de Amazon.com, Inc. o sus filiales.\n\n11 Los dispositivos Google se venden por separado y requieren una conexión de internet Wi-Fi.']"
2022-04-17,"[""There are certainly other celebrity executives in this world, such as former Amazon (AMZN) - Get Amazon.com, Inc. Report Jeff Bezos, and Virgin Group's Richard Branson.\n\nBut they don't seem to have gravitational pull that Musk commands.\n\nJust look at the Twitter numbers: Bezos has 3.8 million followers, while Branson has 12.6 million.\n\nAnd Musk?"", 'The higher cost of fuel and rising labor costs have begun to take a toll on e-commerce goliath Amazon (AMZN) - Get Amazon.com, Inc. Report, which the company has not addressed until now. The company decided not to pass the higher inflation and fuel costs directly to consumers but instead plans to add a surcharge on its third-party seller partners.']"
2022-04-18,"['Technology companies finished the regular session in a mixed fashion as Block Inc (NYSE: ) fell 1.6%, Amazon.com Inc (NASDAQ: ) added 0.7% Apple Inc (NASDAQ: ) eased 0.1% and NVIDIA Corporation (NASDAQ: ) added 2.5%.', ""Ticker Security Last Change Change % AMZN AMAZON.COM INC. 3,055.70 +21.57 +0.71%\n\nThe unionization push at Apple comes as Amazon workers in Staten Island voted in favor of forming the e-commerce giant's first-ever union."", 'Parked alongside in trademark “Prime Blue” were dozens of plug-in commercial delivery vans for Amazon.com Inc., a critical customer and investor. All of the machines are awaiting shipment to their new owners, a dormant cavalcade ready to deploy in the coming electric vehicle wars.']"
2022-04-19,"['DHL, a division of the German logistics company Deutsche Post AG ( DPSTF, Financial), and Amazon.com Inc. ( AMZN, Financial) are two other emerging competitors to keep an eye on as these companies are aggressively pursuing growth opportunities in this market.', 'Citi Names Amazon, Snap, Airbnb, and DoorDash Top Internet Picks\n\nLate Tuesday, Citigroup (NYSE: ) analyst Ronald Josey initiated coverage on 6 stocks and assumed coverage on 15 stocks across the North American Internet sector, with their top picks being Amazon.com, Inc. (NASDAQ: ), Snap Inc . (NYSE: ), Airbnb, Inc. (ABNB), and DoorDash, Inc.', 'The brokerage added Amazon.com to its NAM Focus List given the company’s leading position in eCommerce, Online Advertising and Cloud - the three of the largest secular trends across the Internet, as well as its view of improving operating efficiencies.', 'Shares of megacap companies like Microsoft Corp, Apple Inc and Amazon.com, typically sensitive to bond yields, jumped more than 1% despite hawkish comments from St. Louis Federal Reserve Bank President James Bullard.\n\nThe benchmark 10-year note yield rose to 2.924, while the 30-year U.S. Treasury yield hit 3% for the first time since early 2019.']"
2022-04-20,"['Unions are also organizing Amazon.com Inc (NASDAQ: ) warehouse workers and Apple Inc (NASDAQ: ) retail employees for the first time.', 'Unions are also organizing Amazon.com Inc warehouse workers and Apple Inc retail employees for the first time.', 'The JCDC’s inaugural private-sector members last year included tech companies such as Amazon.com Inc., Microsoft Corp. and Alphabet Inc.’s Google.\n\nIt is unclear how industrial firms will share information about threats with U.S. officials and one another through the JCDC partnership.']"
2022-04-21,"['The stock outperformed some of its competitors Thursday, as Amazon.com Inc. AMZN, -3.70% fell 3.70% to $2,965.92, Costco Wholesale Corp. COST, -1.95% fell 1.95% to $591.74, and Target Corp. TGT, -0.46% fell 0.46% to $248.17. Trading volume (5.9 M) remained 2.4 million below its 50-day average volume of 8.3 M.', 'High-growth stocks, including those of Alphabet and Amazon.com, fell as investors fretted about how the higher rate environment would impact their future growth potential.\n\nMeta Platforms declined 6.2 per cent, taking its losses in the last two days to 13.5 per cent.', 'High-growth stocks, including those of Alphabet Inc and Amazon.com Inc, fell as investors fretted about how the higher rate environment would impact their future growth potential. Meta Platforms Inc declined 6.2%, taking its losses in the last two days to 13.5%.']"
2022-04-22,"['The stock demonstrated a mixed performance when compared to some of its competitors Friday, as Amazon.com Inc. AMZN, -2.66% fell 2.66% to $2,887.00, Visa Inc. Cl A V, -3.83% fell 3.83% to $208.17, and American Express Co. AXP, -2.80% fell 2.80% to $180.54. Trading volume (3.0 M) remained 1.0 million below its 50-day average volume of 4.0 M.', 'McCormick joins the online shoe retailer from Amazon Hub, the division that runs Amazon.com Inc.’s package pickup and returns lockers, where she was global marketing director.\n\nAmazon in 2009 bought Zappos for $1.2 billion, but let the company run autonomously under its former chief executive officer, the late Tony Hsieh.\n\nMs.', 'McCormick joins the online shoe retailer from Amazon Hub, the division that runs Amazon.com Inc.’s package pickup and returns lockers, where she was global marketing director.\n\nAmazon in 2009 bought Zappos for $1.2 billion, but let the company run autonomously under its former chief executive officer, the late Tony Hsieh.\n\nMs.']"
2022-04-23,"[""The rejection by the lenders comes amid a legal challenge by U.S. e-commerce giant Amazon.com Inc which has accused Future of violating certain contracts by dealing with Reliance, run by India's richest man, Mukesh Ambani."", 'Based on their reported 2021 annual sales, Amazon.com Inc, for instance, could face a theoretical fine of as much as 26 billion euros ($28 billion) for future noncompliance with the DSA. Repeat offenders could be barred from operating in the EU.', ""The deal was at the centre of legal battles since 2020 after Future's partner Amazon.com Inc (NASDAQ: ) legally blocked it, citing violation of certain contracts. Future denied any wrongdoing.""]"
2022-04-24,"['(AAPL), Microsoft MSFT (MSFT), Amazon.com (AMZN), and Alphabet (GOOGL).\n\nThe current data indicates that of the “99 S&P 500 companies that have reported so far, 77.8% reported earnings above analyst’s expectations”.', 'Shares of Amazon.com, Inc. AMZN Friday lost close to 3% to settle at $2,887.00. Last month, the Board of Directors of the company approved a 20-for-1 split in June.\n\nOn CNBC\'s ""Options Action,"" Tony Zhang said there were risks ahead of Amazon’s earnings announcement. He recommended buying a put vertical spread.', 'NEW YORK, April 24, 2022 /PRNewswire/ -- WHY: Rosen Law Firm, a global investor rights law firm, continues to investigate potential securities claims on behalf of shareholders of Amazon.com, Inc. (NASDAQ: AMZN) resulting from allegations that Amazon may have issued materially misleading business information to the investing public.', 'ROSEN, RESPECTED INVESTOR COUNSEL, Encourages Amazon.com, Inc. Investors With Losses to Inquire About Securities Class Action Investigation - AMZN']"
2022-04-25,"['Ahead in the session, big tech earnings are set to kick off after the bell with Alphabet Inc (NASDAQ: ) and Microsoft Corporation (NASDAQ: ), while Meta Platforms Inc (NASDAQ: ), Amazon.com Inc (NASDAQ: ) and Apple Inc (NASDAQ: ) are slated to report later in the week.', 'Investors were also on edge at the start of a week that will see megacap companies like Google-parent Alphabet Inc GOOGL.O, Microsoft Corp MSFT.O, Amazon.com Inc AMZN.O and Apple Inc AAPL.O publish quarterly results.', ""(Reuters) - A Teamsters group, which represents roughly 7,000 Amazon.com Inc (NASDAQ: ) fulfillment center workers across Canada's Alberta and the Northwest Territories, has filed an application with the Labor Board to hold a vote for union representation.""]"
